Chromosome,Start,End,peak_id
chr1,1628719,1629220,285
chr1,1630872,1631373,286
chr1,1636390,1636891,287
chr1,1647767,1648268,288
chr1,1658883,1659384,289
chr1,1665614,1666115,290
chr1,1669741,1670242,291
chr1,1672574,1673075,292
chr1,1677768,1678269,293
chr1,1678804,1679305,294
chr1,1684005,1684506,295
chr1,1686213,1686714,296
chr1,1692592,1693093,297
chr1,1693193,1693694,298
chr1,1694738,1695239,299
chr1,1697212,1697713,300
chr1,1703844,1704345,301
chr1,1712006,1712507,302
chr1,1714632,1715133,303
chr1,1724173,1724674,304
chr1,1728486,1728987,305
chr1,1735124,1735625,306
chr1,1736455,1736956,307
chr1,1737856,1738357,308
chr1,1738794,1739295,309
chr1,1740945,1741446,310
chr1,1745875,1746376,311
chr1,1746464,1746965,312
chr1,1747027,1747528,313
chr1,1752581,1753082,314
chr1,1753082,1753583,315
chr1,1754045,1754546,316
chr1,1758081,1758582,317
chr1,1758915,1759416,318
chr1,1762905,1763406,319
chr1,1764192,1764693,320
chr1,1764998,1765499,321
chr1,1771464,1771965,322
chr1,1775547,1776048,323
chr1,1778721,1779222,324
chr1,1778219,1778720,325
chr1,1780293,1780794,326
chr1,1782574,1783075,327
chr1,1788996,1789497,328
chr1,1796403,1796904,329
chr1,1797896,1798397,330
chr1,1799617,1800118,331
chr1,1800891,1801392,332
chr1,1805974,1806475,333
chr1,1812727,1813228,334
chr1,1814998,1815499,335
chr1,1816043,1816544,336
chr1,1816871,1817372,337
chr1,1819103,1819604,338
chr1,1823066,1823567,339
chr1,1823785,1824286,340
chr1,1832801,1833302,341
chr1,1833928,1834429,342
chr1,1833399,1833900,343
chr1,1835473,1835974,344
chr1,1840220,1840721,345
chr1,1841585,1842086,346
chr1,1842753,1843254,347
chr1,1842247,1842748,348
chr1,1846940,1847441,349
chr1,1847849,1848350,350
chr1,1849142,1849643,351
chr1,1851931,1852432,352
chr1,1855604,1856105,353
chr1,1857056,1857557,354
chr1,1858574,1859075,355
chr1,1860904,1861405,356
chr1,1862794,1863295,357
chr1,1864607,1865108,358
chr1,1865767,1866268,359
chr1,1869418,1869919,360
chr1,1872707,1873208,361
chr1,1875836,1876337,362
chr1,1880964,1881465,363
chr1,1881849,1882350,364
chr1,1883407,1883908,365
chr1,1890074,1890575,366
chr1,1890865,1891366,367
chr1,1891468,1891969,368
chr1,1892119,1892620,369
chr1,1895843,1896344,370
chr1,1899118,1899619,371
chr1,1899904,1900405,372
chr1,1901986,1902487,373
chr1,1906157,1906658,374
chr1,1907369,1907870,375
chr1,1909029,1909530,376
chr1,1919180,1919681,377
chr1,1924434,1924935,378
chr1,1926425,1926926,379
chr1,1937029,1937530,380
chr1,1939734,1940235,381
chr1,1940303,1940804,382
chr1,1942839,1943340,383
chr1,1943913,1944414,384
chr1,1954790,1955291,385
chr1,1958050,1958551,386
chr1,1959957,1960458,387
chr1,1964102,1964603,388
chr1,1966329,1966830,389
chr1,1967064,1967565,390
chr1,1969040,1969541,391
chr1,1973593,1974094,392
chr1,1974235,1974736,393
chr1,1988627,1989128,394
chr1,1996131,1996632,395
chr1,1996788,1997289,396
chr1,2003593,2004094,397
chr1,2017440,2017941,398
chr1,2019074,2019575,399
chr1,2018383,2018884,400
chr1,2025665,2026166,401
chr1,2028185,2028686,402
chr1,2032780,2033281,403
chr1,2034885,2035386,404
chr1,2043000,2043501,405
chr1,2044745,2045246,406
chr1,2046400,2046901,407
chr1,2050048,2050549,408
chr1,2049349,2049850,409
chr1,2050563,2051064,410
chr1,2051151,2051652,411
chr1,2061657,2062158,412
chr1,2063497,2063998,413
chr1,2077162,2077663,414
chr1,2079559,2080060,415
chr1,2090440,2090941,416
chr1,2091521,2092022,417
chr1,2094883,2095384,418
chr1,2100424,2100925,419
chr1,2104608,2105109,420
chr1,2108534,2109035,421
chr1,2112363,2112864,422
chr1,2115199,2115700,423
chr1,2118535,2119036,424
chr1,2127089,2127590,425
chr1,2126407,2126908,426
chr1,2129503,2130004,427
chr1,2133152,2133653,428
chr1,2139689,2140190,429
chr1,2142764,2143265,430
chr1,2146520,2147021,431
chr1,2148636,2149137,432
chr1,2149346,2149847,433
chr1,2151235,2151736,434
chr1,2152099,2152600,435
chr1,2152886,2153387,436
chr1,2155306,2155807,437
chr1,2159103,2159604,438
chr1,2160632,2161133,439
chr1,2163157,2163658,440
chr1,2162575,2163076,441
chr1,2169963,2170464,442
chr1,2174238,2174739,443
chr1,2177861,2178362,444
chr1,2179358,2179859,445
chr1,2180457,2180958,446
chr1,2187563,2188064,447
chr1,2189367,2189868,448
chr1,2194841,2195342,449
chr1,2199158,2199659,450
chr1,2205045,2205546,451
chr1,2212649,2213150,452
chr1,2213339,2213840,453
chr1,2214502,2215003,454
chr1,2219875,2220376,455
chr1,2224028,2224529,456
chr1,2227582,2228083,457
chr1,2228889,2229390,458
chr1,2231801,2232302,459
chr1,2231029,2231530,460
chr1,2234308,2234809,461
chr1,2237150,2237651,462
chr1,2239611,2240112,463
chr1,2240194,2240695,464
chr1,2241869,2242370,465
chr1,2243045,2243546,466
chr1,2246609,2247110,467
chr1,2246031,2246532,468
chr1,2247789,2248290,469
chr1,2248418,2248919,470
chr1,2248962,2249463,471
chr1,2255799,2256300,472
chr1,2255285,2255786,473
chr1,2256328,2256829,474
chr1,2258948,2259449,475
chr1,2259952,2260453,476
chr1,2261426,2261927,477
chr1,2265900,2266401,478
chr1,2266579,2267080,479
chr1,2267757,2268258,480
chr1,2268493,2268994,481
chr1,2269476,2269977,482
chr1,2270057,2270558,483
chr1,2270828,2271329,484
chr1,2271916,2272417,485
chr1,2273295,2273796,486
chr1,2275094,2275595,487
chr1,2275787,2276288,488
chr1,2276498,2276999,489
chr1,2277994,2278495,490
chr1,2277459,2277960,491
chr1,2279072,2279573,492
chr1,2279785,2280286,493
chr1,2282641,2283142,494
chr1,2284405,2284906,495
chr1,2283780,2284281,496
chr1,2288241,2288742,497
chr1,2290578,2291079,498
chr1,2291108,2291609,499
chr1,2294538,2295039,500
chr1,2299087,2299588,501
chr1,2300940,2301441,502
chr1,2300314,2300815,503
chr1,2305019,2305520,504
chr1,2309209,2309710,505
chr1,2311392,2311893,506
chr1,2312745,2313246,507
chr1,2311956,2312457,508
chr1,2315016,2315517,509
chr1,2314232,2314733,510
chr1,2315612,2316113,511
chr1,2313720,2314221,512
chr1,2321928,2322429,513
chr1,2324486,2324987,514
chr1,2331292,2331793,515
chr1,2345601,2346102,516
chr1,2359679,2360180,517
chr1,2368257,2368758,518
chr1,2370476,2370977,519
chr1,2379447,2379948,520
chr1,2381679,2382180,521
chr1,2382507,2383008,522
chr1,2385501,2386002,523
chr1,2387878,2388379,524
chr1,2389633,2390134,525
chr1,2391430,2391931,526
chr1,2396589,2397090,527
chr1,2400416,2400917,528
chr1,2412399,2412900,529
chr1,2413102,2413603,530
chr1,2414332,2414833,531
chr1,2415741,2416242,532
chr1,2430004,2430505,533
chr1,2431036,2431537,534
chr1,2434202,2434703,535
chr1,2443790,2444291,536
chr1,2460142,2460643,537
chr1,2466621,2467122,538
chr1,2467186,2467687,539
chr1,2467966,2468467,540
chr1,2470805,2471306,541
chr1,2480974,2481475,542
chr1,2481917,2482418,543
chr1,2482962,2483463,544
chr1,2483908,2484409,545
chr1,2489076,2489577,546
chr1,2493813,2494314,547
chr1,2496169,2496670,548
chr1,2497801,2498302,549
chr1,2499948,2500449,550
chr1,2499167,2499668,551
chr1,2503777,2504278,552
chr1,2503188,2503689,553
chr1,2504668,2505169,554
chr1,2506188,2506689,555
chr1,2505364,2505865,556
chr1,2506790,2507291,557
chr1,2523809,2524310,558
chr1,2526043,2526544,559
chr1,2526696,2527197,560
chr1,2528914,2529415,561
chr1,2534664,2535165,562
chr1,2535167,2535668,563
chr1,2539281,2539782,564
chr1,2540802,2541303,565
chr1,2541485,2541986,566
chr1,2548620,2549121,567
chr1,2546761,2547262,568
chr1,2546008,2546509,569
chr1,2547935,2548436,570
chr1,2554825,2555326,571
chr1,2555493,2555994,572
chr1,2556277,2556778,573
chr1,2556783,2557284,574
chr1,2561842,2562343,575
chr1,2570310,2570811,576
chr1,2575774,2576275,577
chr1,2576569,2577070,578
chr1,2578240,2578741,579
chr1,2577627,2578128,580
chr1,2584060,2584561,581
chr1,2585356,2585857,582
chr1,2586287,2586788,583
chr1,2592676,2593177,584
chr1,2596865,2597366,585
chr1,2597415,2597916,586
chr1,2611175,2611676,587
chr1,2614210,2614711,588
chr1,2623173,2623674,589
chr1,2628258,2628759,590
chr1,2628775,2629276,591
chr1,2632929,2633430,592
chr1,2637405,2637906,593
chr1,2643025,2643526,594
chr1,2642390,2642891,595
chr1,2786568,2787069,596
chr1,2788927,2789428,597
chr1,2799664,2800165,598
chr1,2801503,2802004,599
chr1,2811416,2811917,600
chr1,2821882,2822383,601
chr1,2824065,2824566,602
chr1,2839939,2840440,603
chr1,2845772,2846273,604
chr1,2847952,2848453,605
chr1,2868743,2869244,606
chr1,2887914,2888415,607
chr1,2888444,2888945,608
chr1,2894594,2895095,609
chr1,2912632,2913133,610
chr1,2921975,2922476,611
chr1,2926491,2926992,612
chr1,2927322,2927823,613
chr1,2929016,2929517,614
chr1,2934630,2935131,615
chr1,2947288,2947789,616
chr1,2949937,2950438,617
chr1,2953831,2954332,618
chr1,2954478,2954979,619
chr1,2956516,2957017,620
chr1,2969696,2970197,621
chr1,2973553,2974054,622
chr1,3003747,3004248,623
chr1,3012545,3013046,624
chr1,3026088,3026589,625
chr1,3032969,3033470,626
chr1,3042414,3042915,627
chr1,3052470,3052971,628
chr1,3069947,3070448,629
chr1,3068974,3069475,630
chr1,3078757,3079258,631
chr1,3084664,3085165,632
chr1,3093873,3094374,633
chr1,3096276,3096777,634
chr1,3102613,3103114,635
chr1,3120053,3120554,636
chr1,3135212,3135713,637
chr1,3155180,3155681,638
chr1,3156605,3157106,639
chr1,3159055,3159556,640
chr1,3161125,3161626,641
chr1,3171016,3171517,642
chr1,3170482,3170983,643
chr1,3173507,3174008,644
chr1,3174788,3175289,645
chr1,3178449,3178950,646
chr1,3181879,3182380,647
chr1,3183356,3183857,648
chr1,3192264,3192765,649
chr1,3192775,3193276,650
chr1,3205287,3205788,651
chr1,3207166,3207667,652
chr1,3215441,3215942,653
chr1,3222067,3222568,654
chr1,3236233,3236734,655
chr1,3251051,3251552,656
chr1,3251735,3252236,657
chr1,3252285,3252786,658
chr1,3261366,3261867,659
chr1,3283884,3284385,660
chr1,3305838,3306339,661
chr1,3306873,3307374,662
chr1,3313028,3313529,663
chr1,3316486,3316987,664
chr1,3319848,3320349,665
chr1,3322058,3322559,666
chr1,3323198,3323699,667
chr1,3328048,3328549,668
chr1,3330735,3331236,669
chr1,3338253,3338754,670
chr1,3351592,3352093,671
chr1,3352251,3352752,672
chr1,3357565,3358066,673
chr1,3361554,3362055,674
chr1,3365494,3365995,675
chr1,3368667,3369168,676
chr1,3372243,3372744,677
chr1,3373129,3373630,678
chr1,3375258,3375759,679
chr1,3381711,3382212,680
chr1,3384378,3384879,681
chr1,3393275,3393776,682
chr1,3393957,3394458,683
chr1,3403295,3403796,684
chr1,3410032,3410533,685
chr1,3414423,3414924,686
chr1,3421857,3422358,687
chr1,3423312,3423813,688
chr1,3424647,3425148,689
chr1,3428138,3428639,690
chr1,3431175,3431676,691
chr1,3453056,3453557,692
chr1,3454136,3454637,693
chr1,3454749,3455250,694
chr1,3458441,3458942,695
chr1,3464717,3465218,696
chr1,3468163,3468664,697
chr1,3471085,3471586,698
chr1,3474039,3474540,699
chr1,3482454,3482955,700
chr1,3483781,3484282,701
chr1,3491189,3491690,702
chr1,3495926,3496427,703
chr1,3501816,3502317,704
chr1,3504175,3504676,705
chr1,3510731,3511232,706
chr1,3512233,3512734,707
chr1,3516114,3516615,708
chr1,3516896,3517397,709
chr1,3518128,3518629,710
chr1,3531321,3531822,711
chr1,3530747,3531248,712
chr1,3538242,3538743,713
chr1,3540192,3540693,714
chr1,3559087,3559588,715
chr1,3565169,3565670,716
chr1,3577316,3577817,717
chr1,3577966,3578467,718
chr1,3585440,3585941,719
chr1,3587801,3588302,720
chr1,3588312,3588813,721
chr1,3593670,3594171,722
chr1,3595187,3595688,723
chr1,3597421,3597922,724
chr1,3596680,3597181,725
chr1,3598832,3599333,726
chr1,3598114,3598615,727
chr1,3599731,3600232,728
chr1,3608106,3608607,729
chr1,3608975,3609476,730
chr1,3610445,3610946,731
chr1,3611450,3611951,732
chr1,3611963,3612464,733
chr1,3615094,3615595,734
chr1,3618963,3619464,735
chr1,3624632,3625133,736
chr1,3629975,3630476,737
chr1,3630756,3631257,738
chr1,3640414,3640915,739
chr1,3649866,3650367,740
chr1,3652222,3652723,741
chr1,3655882,3656383,742
chr1,3656639,3657140,743
chr1,3660617,3661118,744
chr1,3665312,3665813,745
chr1,3666185,3666686,746
chr1,3667209,3667710,747
chr1,3668778,3669279,748
chr1,3670124,3670625,749
chr1,3673229,3673730,750
chr1,3677447,3677948,751
chr1,3676939,3677440,752
chr1,3678151,3678652,753
chr1,3678921,3679422,754
chr1,3680622,3681123,755
chr1,3681581,3682082,756
chr1,3683973,3684474,757
chr1,3686087,3686588,758
chr1,3687524,3688025,759
chr1,3688315,3688816,760
chr1,3695526,3696027,761
chr1,3702588,3703089,762
chr1,3703251,3703752,763
chr1,3703953,3704454,764
chr1,3707227,3707728,765
chr1,3717011,3717512,766
chr1,3717955,3718456,767
chr1,3718705,3719206,768
chr1,3719691,3720192,769
chr1,3721235,3721736,770
chr1,3724319,3724820,771
chr1,3727190,3727691,772
chr1,3730425,3730926,773
chr1,3732683,3733184,774
chr1,3734814,3735315,775
chr1,3743288,3743789,776
chr1,3745422,3745923,777
chr1,3747190,3747691,778
chr1,3746394,3746895,779
chr1,3765210,3765711,780
chr1,3770873,3771374,781
chr1,3772374,3772875,782
chr1,3771868,3772369,783
chr1,3775406,3775907,784
chr1,3787363,3787864,785
chr1,3793568,3794069,786
chr1,3794940,3795441,787
chr1,3796316,3796817,788
chr1,3801381,3801882,789
chr1,3804613,3805114,790
chr1,3810120,3810621,791
chr1,3815461,3815962,792
chr1,3817207,3817708,793
chr1,3839612,3840113,794
chr1,3841164,3841665,795
chr1,3842863,3843364,796
chr1,3844768,3845269,797
chr1,3857108,3857609,798
chr1,3869759,3870260,799
chr1,3879449,3879950,800
chr1,3881053,3881554,801
chr1,3883481,3883982,802
chr1,3890965,3891466,803
chr1,3889892,3890393,804
chr1,3892709,3893210,805
chr1,3900498,3900999,806
chr1,3899937,3900438,807
chr1,3901158,3901659,808
chr1,3906077,3906578,809
chr1,3907160,3907661,810
chr1,3910718,3911219,811
chr1,3909854,3910355,812
chr1,3922195,3922696,813
chr1,3924886,3925387,814
chr1,3928475,3928976,815
chr1,3927969,3928470,816
chr1,3939256,3939757,817
chr1,3964221,3964722,818
chr1,3968891,3969392,819
chr1,3989899,3990400,820
chr1,3992142,3992643,821
chr1,3999773,4000274,822
chr1,4007432,4007933,823
chr1,4006904,4007405,824
chr1,4013291,4013792,825
chr1,4027460,4027961,826
chr1,4035780,4036281,827
chr1,4040752,4041253,828
chr1,4044876,4045377,829
chr1,4048000,4048501,830
chr1,4052547,4053048,831
chr1,4063838,4064339,832
chr1,4086962,4087463,833
chr1,4087495,4087996,834
chr1,4122816,4123317,835
chr1,4138552,4139053,836
chr1,4144322,4144823,837
chr1,4173136,4173637,838
chr1,4176857,4177358,839
chr1,4177418,4177919,840
chr1,4248995,4249496,841
chr1,4267361,4267862,842
chr1,4268098,4268599,843
chr1,4271096,4271597,844
chr1,4307394,4307895,845
chr1,4328355,4328856,846
chr1,4336441,4336942,847
chr1,4379401,4379902,848
chr1,4381185,4381686,849
chr1,4464327,4464828,850
chr1,4495776,4496277,851
chr1,4597157,4597658,852
chr1,4598513,4599014,853
chr1,4603377,4603878,854
chr1,4611804,4612305,855
chr1,4614992,4615493,856
chr1,4616357,4616858,857
chr1,4617645,4618146,858
chr1,4628904,4629405,859
chr1,4632390,4632891,860
chr1,4632965,4633466,861
chr1,4634200,4634701,862
chr1,4638245,4638746,863
chr1,4652485,4652986,864
chr1,4655737,4656238,865
chr1,4656407,4656908,866
chr1,4660832,4661333,867
chr1,4670951,4671452,868
chr1,4700781,4701282,869
chr1,4708804,4709305,870
chr1,4710775,4711276,871
chr1,4710249,4710750,872
chr1,4713559,4714060,873
chr1,4716336,4716837,874
chr1,4724609,4725110,875
chr1,4726837,4727338,876
chr1,4728212,4728713,877
chr1,4729407,4729908,878
chr1,4734813,4735314,879
chr1,4736192,4736693,880
chr1,4752127,4752628,881
chr1,4755059,4755560,882
chr1,4759763,4760264,883
chr1,4796349,4796850,884
chr1,4796966,4797467,885
chr1,4825031,4825532,886
chr1,4825986,4826487,887
chr1,4830694,4831195,888
chr1,4837714,4838215,889
chr1,4839313,4839814,890
chr1,4903173,4903674,891
chr1,4917545,4918046,892
chr1,4961767,4962268,893
chr1,5004033,5004534,894
chr1,5020515,5021016,895
chr1,5031794,5032295,896
chr1,5053669,5054170,897
chr1,5061930,5062431,898
chr1,5090163,5090664,899
chr1,5110422,5110923,900
chr1,5220796,5221297,901
chr1,5244864,5245365,902
chr1,5250397,5250898,903
chr1,5277958,5278459,904
chr1,5305200,5305701,905
chr1,5309339,5309840,906
chr1,5329065,5329566,907
chr1,5337838,5338339,908
chr1,5347009,5347510,909
chr1,5348698,5349199,910
chr1,5370242,5370743,911
chr1,5385350,5385851,912
chr1,5388995,5389496,913
chr1,5411523,5412024,914
chr1,5423115,5423616,915
chr1,5466409,5466910,916
chr1,5481810,5482311,917
chr1,5483420,5483921,918
chr1,5488413,5488914,919
chr1,5500354,5500855,920
chr1,5502616,5503117,921
chr1,5509803,5510304,922
chr1,5513750,5514251,923
chr1,5514468,5514969,924
chr1,5551520,5552021,925
chr1,5584526,5585027,926
chr1,5640739,5641240,927
chr1,5652869,5653370,928
chr1,5660144,5660645,929
chr1,5667052,5667553,930
chr1,5668045,5668546,931
chr1,5668754,5669255,932
chr1,5688426,5688927,933
chr1,5709905,5710406,934
chr1,5716418,5716919,935
chr1,5717585,5718086,936
chr1,5731372,5731873,937
chr1,5744975,5745476,938
chr1,5745738,5746239,939
chr1,5770908,5771409,940
chr1,5778554,5779055,941
chr1,5802549,5803050,942
chr1,5801751,5802252,943
chr1,5811407,5811908,944
chr1,5813858,5814359,945
chr1,5815119,5815620,946
chr1,5826569,5827070,947
chr1,5832187,5832688,948
chr1,5836749,5837250,949
chr1,5847253,5847754,950
chr1,5881815,5882316,951
chr1,5885715,5886216,952
chr1,5887619,5888120,953
chr1,5893429,5893930,954
chr1,5915938,5916439,955
chr1,5927906,5928407,956
chr1,5937018,5937519,957
chr1,5944018,5944519,958
chr1,5945056,5945557,959
chr1,5949333,5949834,960
chr1,5950928,5951429,961
chr1,5954924,5955425,962
chr1,5955617,5956118,963
chr1,5966795,5967296,964
chr1,5975102,5975603,965
chr1,5975800,5976301,966
chr1,5977864,5978365,967
chr1,5977363,5977864,968
chr1,5980381,5980882,969
chr1,5982257,5982758,970
chr1,5992292,5992793,971
chr1,5991760,5992261,972
chr1,5994644,5995145,973
chr1,6001067,6001568,974
chr1,6002220,6002721,975
chr1,6002877,6003378,976
chr1,6005200,6005701,977
chr1,6006540,6007041,978
chr1,6007305,6007806,979
chr1,6009302,6009803,980
chr1,6011043,6011544,981
chr1,6011863,6012364,982
chr1,6012958,6013459,983
chr1,6014619,6015120,984
chr1,6015252,6015753,985
chr1,6024382,6024883,986
chr1,6028032,6028533,987
chr1,6026012,6026513,988
chr1,6026933,6027434,989
chr1,6034385,6034886,990
chr1,6037213,6037714,991
chr1,6038035,6038536,992
chr1,6040855,6041356,993
chr1,6041391,6041892,994
chr1,6042014,6042515,995
chr1,6047091,6047592,996
chr1,6052386,6052887,997
chr1,6056507,6057008,998
chr1,6055809,6056310,999
chr1,6058515,6059016,1000
chr1,6063499,6064000,1001
chr1,6075721,6076222,1002
chr1,6082344,6082845,1003
chr1,6099689,6100190,1004
chr1,6101045,6101546,1005
chr1,6100544,6101045,1006
chr1,6101773,6102274,1007
chr1,6108768,6109269,1008
